,CKSAAGP_postivecharger.postivecharger.gap0,DDE_RR,CKSAAP_LV.gap1,CKSAAP_LF.gap1,CKSAAGP_alphaticr.alphaticr.gap5,PAAC_Xc1.I,CKSAAGP_uncharger.alphaticr.gap5,CKSAAGP_negativecharger.alphaticr.gap4,CTDD_normwaalsvolume.3.residue25,APAAC_Pc1.D,DDE_YP,Z5__18,CTDT_charge.Tr1331,CTDD_hydrophobicity_FASG890101.3.residue75,CTDD_hydrophobicity_CASG920101.3.residue75,GTPC_aromatic.uncharger.alphaticr,GAAC_postivecharge,Z5__41,PAAC_Xc1.S,MSW__7,Z5__39,QSO3_SC_F,CTDD_normwaalsvolume.1.residue25,DDE_MR,CTDD_hydrophobicity_PRAM900101.2.residue0,CTDC_solventaccess.G1,Cougar__1,DDE_KI,CTDD_hydrophobicity_PONP930101.3.residue75,CTDD_hydrophobicity_ENGD860101.1.residue0,ABHPRK__46,CKSAAP_RR.gap2,CKSAAGP_postivecharger.uncharger.gap5,CTDD_hydrophobicity_PRAM900101.2.residue25,APAAC_Pc2.Hydrophilicity.1,CKSAAGP_uncharger.alphaticr.gap1,QSO3_SC_D,ABHPRK__38,CKSAAGP_aromatic.alphaticr.gap5,CTDD_hydrophobicity_FASG890101.2.residue0,CKSAAGP_uncharger.postivecharger.gap0,APAAC_Pc1.M,ABHPRK__60,Ez__16,CKSAAGP_alphaticr.uncharger.gap5,Z3__18,NMBroto_BHAR880101.lag3,MSW__1,ABHPRK__20,CKSAAGP_negativecharger.alphaticr.gap5,MSW__18,Z5__10,ABHPRK__49,NMBroto_BHAR880101.lag2,Z5__42,Z3__16,CKSAAGP_alphaticr.alphaticr.gap3,DDR_H,AAC_F,CTDD_normwaalsvolume.3.residue0,OVPC_Polar,CKSAAGP_alphaticr.negativecharger.gap4,Argos,CKSAAGP_uncharger.postivecharger.gap5,Z3__10,CKSAAGP_postivecharger.alphaticr.gap2,AAC_S,CTDD_hydrophobicity_ARGP820101.3.residue100,CTDD_hydrophobicity_PONP930101.1.residue75,CTDD_hydrophobicity_ARGP820101.1.residue0,CTDD_polarizability.2.residue25,CTDD_hydrophobicity_PONP930101.2.residue100,GTPC_uncharger.uncharger.alphaticr,CTDD_secondarystruct.1.residue0,Z5__11,CTDD_hydrophobicity_CASG920101.3.residue0,CTDT_hydrophobicity_ZIMJ680101.Tr1331,CKSAAGP_postivecharger.alphaticr.gap3,ABHPRK__44,CKSAAGP_uncharger.alphaticr.gap3,CTDD_hydrophobicity_CASG920101.3.residue50,Z5__32,OVP_Aromatic_N1,Ez__15,CKSAAGP_uncharger.alphaticr.gap4,OVP_Polar_N1,MSW__11,Ez__13,AAC_I,CTDD_hydrophobicity_CASG920101.2.residue25,Aliphatic_Index,APAAC_Pc2.Hydrophobicity.1,AAC_V,CTDT_normwaalsvolume.Tr1221,CTDD_secondarystruct.2.residue0,PAAC_Xc1.G,CTDD_hydrophobicity_ZIMJ680101.1.residue25,CTriad_g2.g2.g2,NMBroto_CHAM810101.lag1,Z5__44,Charge_density,CTDC_normwaalsvolume.G3,DDR_P,APAAC_Pc2.Hydrophilicity.2,CKSAAGP_aromatic.alphaticr.gap0,OVP_Aliphatic_C3,Z5__15,PAAC_Xc1.H,CTDD_secondarystruct.1.residue25,CTDD_hydrophobicity_PONP930101.3.residue0,y
123|0|training,-0.41181,-0.35541,1.34454,-0.21683,0.25986,0.40497,0.09998,0.02252,-0.42041,4.17117,1.6817,0.08999,-0.33747,0.72893,0.27626,0.45415,-0.54287,-0.75585,-0.77503,-0.08025,0.08442,0.10876,-0.47962,-0.25745,-0.94038,-0.50343,0.26625,-0.26843,0.75622,-0.81613,0.26627,-0.26215,-0.47633,-0.49368,-0.15677,-0.16671,1.91402,0.90998,-0.31007,-0.94602,0.62854,-0.51802,-0.34371,0.21512,-0.26039,-0.0412,0.11723,-0.36865,-0.37016,0.05303,0.28316,-0.3367,0.14744,0.02322,-0.66803,-0.20167,-0.40223,-0.44141,-0.19535,-0.40006,-0.04694,1.26631,0.20241,-0.16541,-0.56639,-0.13336,-0.76194,0.75246,0.43349,-0.87427,-0.63732,0.66031,0.02711,-0.67214,0.2121,0.47505,0.69583,-0.48093,-0.45241,0.32717,0.32379,0.15437,-0.54663,0.13507,0.5201,0.87029,0.90783,0.16821,-0.14656,-0.35163,0.30442,-0.57614,0.49761,-0.07165,-1.06044,0.41237,0.31442,-0.40363,0.36573,0.09562,-1.15146,-0.64384,1.48222,-0.56835,-0.35583,-0.43064,0.16701,-0.4677,-0.52037,-0.75401,0
124|0|training,-0.41181,-0.33696,1.66615,-0.21683,0.02491,0.4717,-0.02591,0.116,0.21343,0.56611,-0.29523,0.64977,-0.33747,0.4482,0.66902,0.61104,-0.85982,1.41727,-0.77503,0.77386,-0.41072,-0.15882,0.35904,-0.244,-0.90765,0.67998,0.01524,-0.25351,0.50486,-0.5445,-0.86045,-0.26215,-0.47633,-0.11588,0.01358,-0.33335,0.3733,-1.24497,-0.31007,-0.92375,-0.15665,-0.51802,-0.34371,0.04436,0.16123,0.7058,-0.52157,-0.58188,-0.37016,-0.30225,0.86699,-0.52254,-0.89733,-0.73527,0.17531,1.03495,-0.54563,-0.44141,-0.47619,0.32246,0.13701,0.35348,-0.17834,-0.08756,0.71178,-0.59323,-0.76194,0.00806,1.04437,-0.84804,-0.491,0.64106,0.14668,-0.75493,-0.70457,-0.65877,-0.43905,-0.48093,0.90769,0.24277,0.20478,-0.75284,-0.54663,0.27224,0.19049,-1.14904,-0.28424,0.16456,-0.05283,-0.95176,-0.42949,0.24956,0.25937,1.25312,-0.56064,2.58734,0.01704,-0.40363,0.37635,-0.4759,-1.07548,-1.37738,0.62898,-0.50649,-0.28734,-0.43064,0.09487,-0.4677,-1.05269,-0.83657,0
125|0|training,-0.41181,-0.25408,-0.15629,-0.21683,-0.67994,-0.62401,-0.65535,-0.36697,-0.39505,-0.59804,-0.23485,-2.14899,-0.33747,-1.23619,-1.68758,2.83361,-0.43722,-0.12441,-0.77503,0.50367,-0.86259,-0.9673,1.89049,-0.18357,0.66311,-0.85526,-0.82486,-0.18647,-1.00331,0.67785,-0.29709,-0.26215,-0.47633,0.50234,0.82182,-1.04161,-0.55359,-0.04778,1.55538,0.94643,1.01778,1.30883,-0.34371,0.20317,1.56662,0.55998,-0.66131,1.1089,-0.37016,-0.30225,-0.72409,0.55433,1.61012,-0.05518,-0.72055,-0.2307,1.21337,-0.44141,-0.89745,-0.25556,-0.59877,-0.28966,1.09316,-0.4768,-0.88163,-0.59323,-0.76194,0.30582,0.72565,1.35512,-0.84218,0.06348,-0.5309,-0.58935,-0.58164,-1.22567,0.62904,-0.48093,1.73887,-0.77005,-1.46137,-0.33106,-0.54663,0.08856,0.82911,-1.14904,1.98571,0.64779,-0.61523,-0.79521,0.83548,-0.00182,0.73584,0.75455,0.22852,-0.89619,1.80127,-0.40363,-0.83179,0.97631,0.14262,0.42313,-0.05228,-0.0333,-0.68687,-0.43064,1.21516,-0.4677,-0.87525,-0.67146,0
126|0|training,-0.41181,-0.25972,-0.15629,-0.21683,0.44782,0.36515,-0.65535,-0.36697,1.59636,1.88542,-0.23896,-0.2439,3.00318,0.0909,0.5619,-0.27799,-0.49484,-0.65524,0.86003,1.0171,0.73197,0.2228,-0.19786,-0.18768,-0.56851,-1.01227,1.36022,-0.19103,0.18494,-0.60006,0.0102,-0.26215,-0.47633,-0.7903,0.89383,0.06012,2.17522,-0.1675,-0.31007,-0.69302,-0.68514,-0.51802,-0.34371,0.86104,-0.54147,-0.50502,-0.09377,-0.51931,-0.37016,-0.30225,0.68808,-0.82314,-0.89733,0.33127,0.77859,0.221,-0.77506,-0.44141,0.25144,1.63613,-0.29777,-0.28966,-1.36893,1.39157,-1.2751,-0.59323,1.59164,0.75246,-0.0132,0.71134,-0.89007,0.12649,-0.5309,-0.18295,-0.85529,0.93889,1.44723,-0.48093,-0.45241,-0.77005,0.81065,-0.11055,-0.54663,1.02499,0.56302,-1.14904,-1.23502,0.70836,0.91859,-0.41093,-0.44565,-0.03836,-0.69356,-1.31096,1.8212,-0.89619,-0.32764,-0.40363,0.10955,1.8651,-0.98432,-0.88633,0.17147,-1.17681,0.47177,-0.43064,0.38678,-0.4677,-0.43971,1.9854,0
127|0|training,-0.41181,-0.25972,-0.15629,-0.21683,-0.67994,-0.62401,0.85532,-0.36697,1.59636,0.59187,-0.23896,-0.97637,-0.33747,0.0909,-1.68758,-0.27799,-0.49484,0.53909,-0.77503,0.19341,0.35752,-0.9673,-0.79453,-0.18768,0.50246,-1.01227,1.35938,-0.19103,0.18494,-0.60006,1.03449,-0.26215,-0.47633,0.33374,0.45702,0.06012,0.90709,-1.24497,-0.31007,0.03562,0.84749,-0.51802,1.78171,-0.09743,1.145,0.08689,0.76139,-1.46251,-0.37016,-0.30225,-0.07071,-0.65778,0.24242,1.10114,1.09903,-0.30153,-0.77506,-0.44141,-0.89745,1.63613,0.70557,-0.28966,0.12104,-0.4768,0.828,-0.59323,-0.76194,0.75246,-0.0132,-0.57622,-0.41118,0.44153,-0.5309,-0.18295,-1.38394,-1.22567,0.92125,-0.48093,-0.45241,-0.77005,-1.46137,0.09007,-0.54663,-0.09777,0.56302,0.87029,1.02105,-0.07246,-0.61523,1.72394,-0.63213,-0.66776,-0.69356,0.548,0.96029,0.38092,-0.32764,-0.40363,2.399,-0.40269,-0.98427,-0.88633,0.27499,-0.00633,-0.68687,-0.43064,-1.1846,-0.4677,-0.43971,1.9854,0
128|0|training,-0.41181,-0.25408,-0.15629,-0.21683,-0.67994,-0.62401,1.23299,-0.36697,-0.39505,-0.59804,-0.23485,2.65618,-0.33747,-0.67473,-0.62711,-0.27799,-0.43722,0.23144,0.01226,-0.96957,-1.05548,-0.9673,1.23415,-0.18357,0.07407,0.29617,-0.05593,-0.18647,0.50486,-0.5445,-0.29709,-0.26215,-0.47633,-0.11588,0.10412,0.19784,-0.55359,-0.04778,-0.31007,1.34718,1.01778,-0.51802,2.04739,-0.20484,-0.54147,-0.11582,-1.35355,1.18402,-0.37016,-0.30225,0.8549,-1.23653,1.61012,-1.52456,1.49297,-1.11727,0.21916,0.52786,-0.89745,-0.25556,0.5049,-0.28966,0.28424,-0.4768,1.76343,-0.59323,0.53253,0.30582,-0.7086,-0.5333,-0.84218,0.75657,-0.5309,-0.58935,2.10746,-0.20524,0.62904,1.56052,1.73887,0.69291,-0.39027,-0.72844,-0.54663,0.19872,0.82911,0.87029,0.89351,-0.32903,-0.61523,-0.32554,-0.5594,0.18365,-0.69356,-0.62246,0.22852,0.31519,-0.87507,-0.40363,0.14451,-0.36142,-0.35409,0.42313,0.32842,0.89932,1.8879,-0.43064,0.51125,0.74567,-0.87525,0.31924,0
129|0|training,-0.41181,-0.25408,-0.15629,-0.21683,0.72976,-0.62401,1.23299,-0.36697,1.43041,-0.59804,-0.23485,-1.42597,-0.33747,-0.11326,0.43336,-0.27799,-0.43722,0.46447,0.05879,0.81903,-0.77054,2.09863,-0.73486,5.05403,-0.51496,0.87188,0.00645,-0.18647,0.50486,0.06668,-1.42381,-0.26215,-0.47633,-0.7341,-0.00771,-1.04161,-0.55359,-0.04778,-0.31007,-0.25583,-0.68514,1.3282,-0.34371,-0.36706,-0.54147,-0.15918,0.79566,-0.25486,-0.37016,-0.30225,0.29853,-0.35789,-0.89733,-0.29034,0.25422,-0.72866,1.21337,-0.44141,1.63009,1.47849,-1.70245,-0.28966,-0.39072,1.85866,0.93326,-0.59323,0.53253,-0.58747,-1.66476,0.88301,-0.3154,0.75657,-0.5309,-0.58935,-0.1451,0.8152,0.62904,-0.48093,-0.45241,0.69291,0.68082,0.1198,-0.54663,0.86758,0.82911,-1.14904,-0.76482,0.35171,-0.61523,-0.79521,-0.94915,0.15744,-0.69356,-1.31096,1.64902,0.38679,-0.87507,-0.40363,0.13766,1.77758,0.37387,0.42313,0.32842,0.06969,0.60051,-0.43064,0.33475,-0.4677,-0.87525,1.80528,0
130|0|training,-0.41181,-0.24177,-0.15629,-0.21683,2.13946,-0.62401,-0.65535,-0.36697,0.97404,-0.59804,-0.22588,-1.26965,-0.33747,-0.67473,0.07987,-0.27799,-1.07111,0.11786,0.88252,0.99549,-0.61846,0.73437,-0.57078,-0.17459,-0.3677,1.01581,0.60444,-0.17651,-0.50059,1.13622,-0.43793,-0.26215,-0.47633,-0.57954,-0.52986,0.61098,-0.55359,0.29428,-0.31007,-0.5564,-0.68514,-0.51802,-0.34371,-0.29647,-0.54147,-0.21257,0.46676,0.51368,-0.37016,-0.30225,1.43764,-1.74011,-0.89733,0.75496,0.52786,-1.45923,-0.77506,-0.44141,0.68227,1.04498,-0.04694,-0.28966,-1.31902,-0.4768,1.92605,-0.59323,2.47424,0.19416,0.36709,-0.41528,0.60647,0.75657,-0.5309,0.15572,1.2145,0.47505,-0.20585,-0.48093,-0.45241,-0.77005,0.32379,-0.04981,-0.54663,-0.09199,1.89348,-1.14904,0.85523,-0.19935,-0.61523,-0.0907,-1.103,-0.44776,-0.69356,-0.42574,1.17552,0.37903,-0.7078,-0.40363,0.31295,-0.16766,-0.14306,-0.47712,-0.75691,-0.25015,0.96834,-0.43064,-0.84181,-0.4677,-0.07677,1.30993,0
131|0|training,-0.41181,-0.21932,-0.15629,-0.21683,-0.67994,0.23255,-0.65535,-0.36697,2.34314,0.60701,-0.20953,-0.32472,-0.33747,-1.23619,-0.27362,-0.27799,0.19668,-0.91338,-0.77503,-0.37354,-0.06114,-0.9673,-0.07852,-0.15823,4.78636,0.87188,1.57941,-0.15836,-1.00331,0.06668,-0.29709,-0.26215,-0.47633,4.82987,-1.49611,-1.04161,1.31044,1.44871,-0.31007,2.95019,-0.68514,-0.51802,-0.34371,3.60691,-0.54147,-0.00898,2.04993,-0.92668,-0.37016,-0.30225,-0.99681,0.42428,-0.89733,-1.21024,-0.98781,0.3682,-0.77506,-0.44141,-0.89745,2.34552,-0.59877,-0.28966,3.38437,-0.4768,1.08637,-0.59323,-0.76194,-1.03411,-1.66476,-0.0612,0.73816,0.75657,-0.5309,1.89424,-1.86942,0.13491,0.92125,-0.48093,-0.45241,-0.77005,-0.03324,0.00583,-0.54663,1.27099,-0.76744,0.87029,-1.26975,2.29305,2.75917,1.55315,1.84062,-2.05092,-0.69356,0.23817,0.70202,-0.35155,-0.20598,-0.40363,1.57416,0.17121,0.24785,-0.77721,-0.75691,-2.75785,-0.68687,-0.43064,2.1448,-0.4677,1.78636,0.81458,0
132|0|training,-0.41181,-0.24811,-0.15629,-0.21683,1.19966,0.38921,-0.65535,-0.36697,1.73465,-0.59804,-0.2305,0.38736,-0.33747,0.26104,-0.11651,-0.27799,-0.36678,-0.28953,-0.77503,0.2383,-0.05194,0.62952,0.06733,-0.17922,0.20497,0.61601,0.60086,-0.18164,0.33728,-0.47659,-1.29862,-0.26215,-0.47633,0.0215,-0.29047,1.79141,-0.55359,-1.24497,-0.31007,-0.16678,1.23064,-0.51802,-0.34371,0.31758,-0.54147,-0.32635,1.8502,-0.0884,-0.37016,-0.30225,-0.31991,0.63265,-0.89733,-1.00812,-0.24501,-0.09725,-0.77506,-0.44141,0.50674,1.7675,-1.57982,-0.28966,1.12565,-0.4768,0.03233,-0.59323,-0.76194,-0.24008,0.03509,-0.48085,-0.78365,0.37152,-0.5309,-0.53416,-0.98158,0.28608,-0.3937,-0.48093,4.47797,0.98551,0.12544,1.31817,-0.54663,0.88309,-0.76744,0.87029,0.73925,0.39953,1.25944,0.30069,1.07936,-0.37144,0.89466,1.01274,0.91246,-0.25193,-0.80073,2.74804,-1.47572,-0.75762,0.39235,-0.64384,-0.31944,-0.60042,-0.68687,-0.43064,-0.95028,-0.4677,-0.8161,0.48435,0
133|0|training,-0.04666,-0.31648,-0.15629,-0.21683,-0.05341,2.26303,-0.23572,0.26851,-0.92748,0.63848,-0.28031,0.1908,1.11499,0.72893,-0.80385,-0.27799,0.2495,0.23306,-0.77503,-0.10113,0.11602,-0.30541,-0.2973,-0.22907,-0.85857,0.77593,-0.69541,-0.23694,-0.08165,-0.3917,-0.2032,-0.26215,-0.47633,0.70841,-0.24484,-0.14019,0.20524,0.16043,0.10447,-0.89036,-0.68514,-0.51802,-0.34371,0.3547,1.33239,-0.06461,0.05251,0.20945,0.02612,0.28987,-0.79481,0.02812,-0.89733,-0.70641,-0.42038,-0.21969,1.3128,-0.44141,-0.37088,-0.76132,-0.27687,-0.28966,0.02678,-0.4768,-0.08383,2.29737,-0.76194,0.19416,0.56629,-0.8087,1.48444,0.46778,-0.5309,-0.46517,-0.36995,-0.94222,-0.79391,0.1315,-0.45241,-0.77005,-0.71755,0.67749,-0.54663,-0.62456,-0.3473,-1.14904,-0.58236,-0.46999,1.49377,0.49639,0.64916,-0.29224,-0.09798,0.03611,-0.79739,0.32763,-0.15023,-0.40363,0.25697,0.80527,0.38205,-0.22705,-0.75691,-2.01231,-0.18311,-0.43064,0.06681,-0.4677,0.58864,-0.75401,0
134|0|training,-0.41181,-0.33696,-0.15629,-0.21683,-0.21004,2.74909,0.91827,0.116,0.21343,0.53499,-0.29523,0.77502,-0.33747,0.63535,-0.03796,-0.27799,-0.64852,0.26943,3.87134,1.52864,-0.06028,-0.11907,-0.2973,-0.244,-0.90765,0.87188,-0.11189,-0.25351,0.67243,-0.5445,-0.67267,-0.26215,-0.47633,-0.7341,0.12038,1.43728,0.41887,-0.50189,-0.31007,-0.92375,0.37184,-0.51802,0.33946,0.51259,1.21527,-0.25231,-0.75435,1.09229,-0.37016,-0.30225,0.53187,-0.06105,-0.47942,0.12921,0.63287,0.94602,-0.08676,-0.44141,-0.47619,0.32246,0.13701,0.35348,-0.78746,-0.4768,-0.08408,-0.03117,1.39551,0.60358,1.04437,-0.84804,-0.3154,-0.51409,2.17945,-0.09263,-0.10428,-0.99891,-1.16454,-0.00983,0.90769,0.58038,-0.15225,0.11978,-0.54663,0.08023,0.82911,-1.14904,0.0642,0.28629,1.07197,0.14413,0.50044,0.16617,1.21231,1.25312,-0.87631,1.24859,-0.42901,1.17221,-0.77759,-0.81011,-0.84777,-1.17732,1.50058,0.08091,0.11219,2.3221,0.54539,-0.4677,-0.34293,-0.83657,0
135|0|training,-0.04666,-0.31648,-0.15629,-0.21683,0.88639,0.49112,0.60354,-0.36697,-1.11763,-0.59804,-0.28031,0.46672,-0.33747,0.49498,0.9636,-0.27799,-0.27874,-0.36401,0.14661,0.83885,-0.43972,1.04419,0.24965,-0.22907,-0.3677,1.01581,-1.58844,-0.23694,0.54675,-0.3917,-1.37687,-0.26215,0.38432,0.19323,0.44174,0.31051,-0.55359,-0.7765,0.10447,-0.5564,0.64758,3.04319,0.52578,0.31275,0.86392,-0.1761,-0.11268,0.8393,0.02612,-0.30225,-0.46331,0.36605,-0.89733,-0.3899,-0.01319,0.18088,1.3128,-0.44141,0.15569,-0.94195,-1.1966,-0.28966,1.08421,-0.4768,-0.85452,-0.59323,-0.22258,0.00806,1.56229,0.37157,-0.71049,-1.26493,-0.5309,-0.67214,0.43768,-1.08395,-0.79391,0.1315,1.2625,-0.33116,0.91884,-0.03025,1.82939,0.22344,0.07285,-1.14904,0.87958,0.61235,0.08777,-0.48209,1.05942,0.60789,0.49761,0.84436,-0.99468,-0.18714,0.12856,1.17221,-0.56325,-0.09791,0.0735,-0.22705,0.72415,-0.38418,0.32065,-0.43064,-0.50676,-0.4677,-0.29857,-0.96041,0
136|0|training,-0.41181,-0.29311,3.03298,-0.21683,2.60936,-0.62401,-0.02591,-0.36697,-0.29364,-0.59804,-0.26328,1.12919,-0.33747,0.26104,-1.68758,-0.27799,-0.71895,-0.50204,2.12648,1.8188,0.0332,-0.9673,0.79659,-0.21202,-0.12227,1.25569,-1.29326,-0.21803,-0.50059,0.88157,-1.29862,-0.26215,-0.47633,0.70841,-0.10299,1.43728,-0.55359,0.65645,-0.31007,-0.38942,0.21641,1.22814,-0.34371,1.11515,0.86392,-0.08831,1.07011,1.10057,-0.37016,-0.30225,0.36625,0.48228,-0.89733,-1.11271,-0.1657,-0.95203,2.63369,-0.44141,-0.89745,-0.15922,-1.57982,-0.28966,2.12317,-0.4768,-0.76052,-0.59323,1.39551,0.75246,0.83189,-0.21857,-0.78365,-0.01353,-0.5309,-0.81012,1.01202,-1.22567,0.45715,-0.48093,0.70768,-0.14307,-1.46137,0.62985,-0.54663,0.61516,1.07474,-1.14904,0.40254,1.3842,-0.61523,-0.22116,2.4241,0.27135,0.10055,2.33406,0.64941,-0.15211,-0.42901,-0.40363,-1.4106,1.13263,-0.19781,-1.31069,0.81098,-0.13646,-0.68687,-0.43064,-0.47333,-0.4677,-0.22463,-0.89161,0
137|0|training,-0.41181,-0.32007,-0.15629,-0.21683,1.10073,0.39783,0.13974,0.23674,-0.39505,0.54251,-0.28292,0.39232,1.05447,0.56049,-0.8392,-0.27799,-0.31044,-0.05349,0.06951,0.64237,0.4789,-0.22839,-0.34106,-0.23168,-0.86838,0.6416,-0.93924,3.3183,1.00758,0.06668,-0.74778,-0.26215,-0.47633,-0.36317,0.13884,0.25172,0.29354,0.10187,0.08265,-0.89704,-0.04654,4.93338,-0.34371,0.33381,0.34615,-0.25725,0.08728,0.42293,-0.37016,0.25871,0.10367,-0.66851,-0.89733,-0.5944,0.0666,-0.69889,1.7815,-0.44141,-0.39194,-0.60237,-0.81951,0.51426,0.59086,-0.4768,0.2236,0.78638,-0.24415,-0.14082,-0.32613,-0.81657,-0.94754,-0.07513,-0.5309,-0.6887,-0.59548,-0.8175,-0.83202,0.68561,-0.45241,-0.35206,-1.03293,0.39042,-0.54663,-0.00287,0.03083,-1.14904,-0.51943,0.25073,0.05965,0.42594,0.40471,0.04712,0.44996,-0.2782,-0.62377,1.05303,-0.47362,-0.40363,-0.70715,-0.42775,-0.45399,-0.057,-0.75691,-0.56746,-0.2041,-0.43064,-0.38903,-0.4677,0.08293,-0.77053,0
138|0|training,-0.2165,0.17007,-0.15629,-0.21683,-0.53155,0.39468,0.13974,-0.05738,-0.47803,0.56334,-0.32491,-0.55004,-0.33747,0.47372,0.72258,-0.27799,-0.35078,0.67143,0.06691,0.2667,0.22373,-0.51635,-0.04869,-0.2737,-0.97013,0.03448,0.44972,-0.28646,0.52771,-0.73896,0.0102,-0.26215,-0.06866,-0.08778,-0.27305,0.13881,-0.0366,-0.74382,-0.11371,-0.96626,-0.32871,-0.51802,0.11173,-0.28085,0.56805,-0.90851,-0.10753,-0.74569,-0.1582,-0.02177,-0.60562,-0.32423,-0.32746,0.64533,0.76007,0.74459,0.11973,-0.44141,-0.61023,-0.82701,0.58015,0.12261,-1.44222,0.01488,0.59053,-0.22309,-0.46774,0.75246,1.39931,-0.89811,0.78605,-0.42483,0.37255,-0.7474,-0.05704,-0.91645,-0.97473,0.1315,0.00623,-0.55061,0.40493,-0.02715,-0.54663,-0.25991,-0.15338,-1.14904,-0.6613,-0.19244,-0.23177,-0.62442,-0.49693,-0.14713,-0.3687,0.41831,-0.76152,3.63798,-0.17557,1.17221,1.6015,0.97943,-0.74941,-0.74993,1.61413,0.11089,-0.14797,-0.43064,-0.09729,-0.4677,0.40716,-0.71649,0
139|0|training,-0.41181,-0.25972,-0.15629,-0.21683,1.57558,0.43171,-0.65535,-0.36697,2.01124,-0.59804,-0.23896,1.61059,-0.33747,0.0909,0.24055,-0.27799,-0.49484,-0.21506,0.09751,1.41022,0.05509,0.57859,-0.79453,-0.18768,-0.56851,1.60461,0.16978,-0.19103,0.64196,3.84482,-1.52624,-0.26215,-0.47633,-0.7903,-0.09866,1.16185,-0.55359,-1.24497,-0.31007,-0.69302,0.84749,-0.51802,-0.34371,0.52276,-0.54147,-0.59491,0.6726,0.54339,-0.37016,-0.30225,0.48707,0.48318,-0.89733,-0.91172,-0.53302,-0.6567,1.7815,-0.44141,0.25144,2.03024,-1.80278,-0.28966,-0.14283,-0.4768,0.96451,-0.59323,0.41485,-0.05961,-1.31706,-0.57622,1.0255,0.44153,-0.5309,-0.18295,-0.60577,0.62966,0.39527,-0.48093,1.51974,0.48392,0.48608,0.85233,-0.54663,0.73163,-0.76744,-1.14904,-0.06947,0.38095,0.91859,-0.41093,1.00891,0.04026,0.6059,-0.07165,1.39075,0.44637,-0.9359,-0.40363,0.00819,-0.46939,0.3151,-0.88633,0.27499,-0.41797,-0.68687,-0.43064,0.32705,-0.4677,-0.43971,1.08477,0
140|0|training,-0.41181,-0.22753,-0.15629,-0.21683,-0.67994,0.46584,-0.65535,-0.36697,-0.54717,-0.59804,-0.21551,0.82183,-0.33747,0.26104,0.66902,-0.27799,-1.07111,-1.36728,-0.77503,-0.01016,0.2141,1.22308,1.89049,-0.16421,1.84118,1.25569,-1.96641,-0.165,0.33728,1.90019,-2.55054,-0.26215,-0.47633,1.73878,1.41152,-1.04161,-0.55359,-1.24497,-0.31007,0.94643,-0.68514,1.02584,4.43849,1.77049,-0.54147,0.53427,-1.38918,2.5994,-0.37016,-0.30225,0.10674,-1.40913,-0.89733,-2.57811,0.2594,-0.89733,2.20759,-0.44141,1.20884,-0.40006,-1.88639,-0.28966,-0.49372,-0.4768,-0.47164,-0.59323,-0.76194,0.00806,-0.23051,-1.00541,0.38697,-2.70887,-0.5309,3.88112,-2.32312,-0.65877,-0.65669,-0.48093,3.49189,-0.77005,-0.86631,-1.55211,1.82939,1.829,-0.76744,-1.14904,3.41433,1.74709,2.19677,0.30069,0.9654,0.97893,1.68877,1.16766,-0.40281,-0.89619,4.03156,-0.40363,-1.08621,0.71674,-0.09332,1.0233,-0.39458,0.36539,3.94772,-0.43064,-0.62968,-0.4677,3.91566,-0.34123,0
141|0|training,-0.03006,-0.31282,-0.15629,-0.21683,0.64683,1.42081,0.23328,-0.36697,-1.10936,-0.59804,-0.27764,0.55206,-0.33747,0.42378,0.92518,-0.27799,0.03131,-0.49482,0.91499,1.14897,-0.57293,-0.12379,0.60635,-0.2264,-0.33569,1.17225,-0.65342,-0.23398,0.483,-0.35849,-1.0809,-0.26215,-0.47633,0.52922,0.29285,0.84707,-0.55359,-0.26545,0.12886,-0.53462,0.01151,-0.51802,0.56718,0.26423,0.94659,-0.91031,-0.41399,0.98569,0.04413,-0.30225,-0.60232,0.92736,-0.89733,-0.73162,-0.1863,0.56325,1.42268,-0.44141,-0.34798,-0.9341,-0.88669,-0.28966,0.47015,-0.4768,-0.52947,0.16555,0.36369,-0.02431,0.28914,0.43143,-0.45282,0.6059,0.37255,-0.65414,0.2719,-1.07778,-0.99141,-0.48093,1.34045,0.15393,0.40141,-0.07767,1.82939,-0.3213,0.56302,-1.14904,0.66222,0.00278,0.8519,-0.44806,1.42323,0.24481,1.17088,0.66067,-0.9861,-0.24609,0.49219,2.74804,-0.28029,0.44573,0.42349,-0.67283,0.64734,-0.59406,-0.16022,-0.43064,-0.79541,-0.4677,-0.4818,-0.95144,0
