,feature name,rank
184,CTDC_hydrophobicity_CASG920101.G3,68
3525,Z5__11,68
3372,Calculate_charge,69
261,CTDD_hydrophobicity_PONP930101.2.residue50,71
3389,ABHPRK__12,71
146,CKSAAGP_alphaticr.aromatic.gap5,72
717,DDE_AP,73
431,CTDT_polarizability.Tr1221,74
265,CTDD_hydrophobicity_PONP930101.3.residue25,75
3054,CKSAAP_LL.gap3,76
3536,Z5__22,77
3026,CKSAAP_KA.gap3,78
165,CKSAAGP_uncharger.alphaticr.gap5,79
3482,MSW__7,80
3419,ABHPRK__49,81
421,CTDT_hydrophobicity_ENGD860101.Tr2332,83
3261,DDR_Y,83
225,CTDD_hydrophobicity_ARGP820101.1.residue25,84
3435,Charge_acid,85
274,CTDD_hydrophobicity_CASG920101.2.residue0,86
3229,PAAC_Xc1.I,87
3479,MSW__4,88
349,CTDD_polarizability.2.residue0,89
269,CTDD_hydrophobicity_CASG920101.1.residue0,91
310,CTDD_hydrophobicity_FASG890101.3.residue25,91
224,CTDD_hydrophobicity_ARGP820101.1.residue0,91
110,CKSAAGP_negativecharger.alphaticr.gap3,93
1861,APAAC_Pc1.M,94
1878,NMBroto_BHAR880101.lag1,96
3432,Argos,96
1897,NMBroto_DAYM780201.lag2,97
150,CKSAAGP_aromatic.alphaticr.gap5,98
3443,Cougar__8,99
435,CTDT_charge.Tr1331,100
351,CTDD_polarizability.2.residue50,102
3477,MSW__2,102
292,CTDD_hydrophobicity_ENGD860101.2.residue75,103
229,CTDD_hydrophobicity_ARGP820101.2.residue0,104
373,CTDD_charge.3.residue100,105
422,CTDT_hydrophobicity_FASG890101.Tr1221,106
3377,Aliphatic_Index,107
801,DDE_FT,108
3484,MSW__9,109
112,CKSAAGP_negativecharger.postivecharger.gap3,110
3436,Cougar__1,111
734,DDE_CL,112
3424,ABHPRK__55,113
3485,MSW__10,114
1010,DDE_SG,115
1886,NMBroto_CHAM820102.lag3,117
3437,Cougar__2,117
376,CTDD_secondarystruct.1.residue50,118
259,CTDD_hydrophobicity_PONP930101.2.residue0,119
20,CKSAAGP_alphaticr.alphaticr.gap0,120
1877,NMBroto_CIDH920105.lag3,121
315,CTDD_normwaalsvolume.1.residue25,122
372,CTDD_charge.3.residue75,124
230,CTDD_hydrophobicity_ARGP820101.2.residue25,124
1880,NMBroto_BHAR880101.lag3,125
381,CTDD_secondarystruct.2.residue50,126
391,CTDD_solventaccess.1.residue50,128
285,CTDD_hydrophobicity_ENGD860101.1.residue25,128
319,CTDD_normwaalsvolume.2.residue0,129
378,CTDD_secondarystruct.1.residue100,130
173,CTDC_hydrophobicity_ARGP820101.G1,131
3567,Hopp_woods,132
3221,PAAC_Xc1.R,133
3543,Z5__29,135
192,CTDC_normwaalsvolume.G2,135
92,CKSAAGP_uncharger.postivecharger.gap2,136
375,CTDD_secondarystruct.1.residue25,138
3540,Z5__26,138
899,DDE_LR,139
370,CTDD_charge.3.residue25,140
402,CTDD_solventaccess.3.residue75,141
324,CTDD_normwaalsvolume.3.residue0,142
3506,Z3__10,143
3483,MSW__8,144
239,CTDD_hydrophobicity_ZIMJ680101.1.residue0,145
409,CTDT_hydrophobicity_ARGP820101.Tr2332,146
3556,Z5__42,148
3529,Z5__15,148
90,CKSAAGP_uncharger.alphaticr.gap2,150
3,AAC_D,150
3467,Ez__14,151
115,CKSAAGP_uncharger.alphaticr.gap3,152
3451,Cougar__16,153
3455,Ez__2,154
3522,Z5__8,155
399,CTDD_solventaccess.3.residue0,156
385,CTDD_secondarystruct.3.residue25,157
3548,Z5__34,158
1890,NMBroto_BIGC670101.lag1,159
277,CTDD_hydrophobicity_CASG920101.2.residue75,160
3555,Z5__41,161
23,CKSAAGP_alphaticr.negativecharger.gap0,163
3433,Bulkiness,163
3550,Z5__36,164
426,CTDT_normwaalsvolume.Tr1331,165
3453,Cougar__18,166
337,CTDD_polarity.2.residue75,167
59,CKSAAGP_postivecharger.uncharger.gap1,168
246,CTDD_hydrophobicity_ZIMJ680101.2.residue50,169
3549,Z5__35,170
3511,Z3__15,171
317,CTDD_normwaalsvolume.1.residue75,172
352,CTDD_polarizability.2.residue75,174
3544,Z5__30,174
300,CTDD_hydrophobicity_FASG890101.1.residue25,175
439,CTDT_secondarystruct.Tr2332,176
3472,Flexibility,177
425,CTDT_normwaalsvolume.Tr1221,178
3468,Ez__15,179
3500,Z3__4,180
1869,APAAC_Pc2.Hydrophobicity.1,181
3534,Z5__20,182
441,CTDT_solventaccess.Tr1331,184
3645,OVP_Aliphatic_C3,184
386,CTDD_secondarystruct.3.residue50,184
3489,MSW__14,186
3438,Cougar__3,187
325,CTDD_normwaalsvolume.3.residue25,188
405,CTDT_hydrophobicity_PRAM900101.Tr1331,190
3406,ABHPRK__34,190
275,CTDD_hydrophobicity_CASG920101.2.residue25,192
3521,Z5__7,192
3449,Cougar__14,194
3518,Z5__4,194
3510,Z3__14,196
403,CTDD_solventaccess.3.residue100,196
65,CKSAAGP_uncharger.alphaticr.gap1,197
282,CTDD_hydrophobicity_CASG920101.3.residue75,198
3235,PAAC_Xc1.S,199
3559,Z5__45,200
434,CTDT_charge.Tr1221,201
97,CKSAAGP_alphaticr.postivecharger.gap3,202
985,DDE_RA,203
362,CTDD_charge.1.residue75,204
3257,DDR_P,205
371,CTDD_charge.3.residue50,207
3596,OVP_Tiny_N2,207
383,CTDD_secondarystruct.2.residue100,209
1883,NMBroto_CHAM820101.lag3,209
401,CTDD_solventaccess.3.residue50,210
174,CTDC_hydrophobicity_ARGP820101.G2,211
380,CTDD_secondarystruct.2.residue25,212
392,CTDD_solventaccess.1.residue75,213
3342,QSO3_SC_Y,215
240,CTDD_hydrophobicity_ZIMJ680101.1.residue25,215
320,CTDD_normwaalsvolume.2.residue25,215
873,DDE_KK,217
433,CTDT_polarizability.Tr2332,218
1873,APAAC_Pc2.Hydrophobicity.3,220
201,CTDC_charge.G2,220
1000,DDE_RS,220
3552,Z5__38,222
155,CKSAAGP_postivecharger.alphaticr.gap5,223
281,CTDD_hydrophobicity_CASG920101.3.residue50,225
202,CTDC_charge.G3,225
1896,NMBroto_DAYM780201.lag1,227
722,DDE_AV,227
263,CTDD_hydrophobicity_PONP930101.2.residue100,228
3408,ABHPRK__36,229
1875,NMBroto_CIDH920105.lag1,230
3566,Eisenberg,231
384,CTDD_secondarystruct.3.residue0,232
3575,OVPC_Aliphatic,234
3492,MSW__17,234
44,CKSAAGP_uncharger.uncharger.gap0,234
3495,Refractivity,236
390,CTDD_solventaccess.1.residue25,237
3258,DDR_S,239
3365,QSO3_SC2,239
1864,APAAC_Pc1.S,239
1872,APAAC_Pc2.Hydrophilicity.2,241
3230,PAAC_Xc1.L,242
393,CTDD_solventaccess.1.residue100,243
3375,Instability_index,244
3244,DDR_R,245
420,CTDT_hydrophobicity_ENGD860101.Tr1331,246
3547,Z5__33,247
3520,Z5__6,248
3243,DDR_A,249
1893,NMBroto_CHAM810101.lag1,250
388,CTDD_secondarystruct.3.residue100,251
122,CKSAAGP_alphaticr.postivecharger.gap4,252
3410,ABHPRK__39,254
1863,APAAC_Pc1.P,254
217,CTDD_hydrophobicity_PRAM900101.2.residue75,255
249,CTDD_hydrophobicity_ZIMJ680101.3.residue0,257
222,CTDD_hydrophobicity_PRAM900101.3.residue75,257
382,CTDD_secondarystruct.2.residue75,258
3513,Z3__17,259
3576,OVPC_Tiny,260
321,CTDD_normwaalsvolume.2.residue50,261
3486,MSW__11,262
1062,DDE_VV,263
871,DDE_KH,264
3568,Janin,265
271,CTDD_hydrophobicity_CASG920101.1.residue50,266
3633,OVP_Polar_C2,267
2317,CKSAAP_FV.gap1,268
2568,CKSAAP_AE.gap2,269
346,CTDD_polarizability.1.residue50,270
838,DDE_HQ,271
231,CTDD_hydrophobicity_ARGP820101.2.residue50,272
89,CKSAAGP_negativecharger.uncharger.gap2,273
1098,DDE_YQ,274
3476,MSW__1,275
975,DDE_QM,276
2816,CKSAAP_RR.gap2,277
99,CKSAAGP_alphaticr.uncharger.gap3,278
228,CTDD_hydrophobicity_ARGP820101.1.residue100,279
95,CKSAAGP_alphaticr.alphaticr.gap3,280
3238,PAAC_Xc1.Y,281
365,CTDD_charge.2.residue25,282
1870,APAAC_Pc2.Hydrophilicity.1,284
215,CTDD_hydrophobicity_PRAM900101.2.residue25,284
284,CTDD_hydrophobicity_ENGD860101.1.residue0,285
379,CTDD_secondarystruct.2.residue0,286
979,DDE_QR,287
204,CTDC_secondarystruct.G2,288
3480,MSW__5,289
3505,Z3__9,290
3045,CKSAAP_LA.gap3,291
185,CTDC_hydrophobicity_ENGD860101.G1,292
116,CKSAAGP_uncharger.aromatic.gap3,293
3374,Isoelectric_point,295
3422,ABHPRK__53,295
52,CKSAAGP_aromatic.postivecharger.gap1,296
3452,Cougar__17,297
183,CTDC_hydrophobicity_CASG920101.G2,298
1885,NMBroto_CHAM820102.lag2,299
84,CKSAAGP_postivecharger.uncharger.gap2,300
175,CTDC_hydrophobicity_ARGP820101.G3,301
3503,Z3__7,302
2,AAC_N,303
3475,MSS,304
3226,PAAC_Xc1.E,306
350,CTDD_polarizability.2.residue25,306
311,CTDD_hydrophobicity_FASG890101.3.residue50,308
55,CKSAAGP_postivecharger.alphaticr.gap1,308
3458,Ez__5,310
919,DDE_MR,310
248,CTDD_hydrophobicity_ZIMJ680101.2.residue100,311
3445,Cougar__10,312
339,CTDD_polarity.3.residue0,313
427,CTDT_normwaalsvolume.Tr2332,314
177,CTDC_hydrophobicity_ZIMJ680101.G2,315
254,CTDD_hydrophobicity_PONP930101.1.residue0,316
1444,GAAC_uncharge,317
296,CTDD_hydrophobicity_ENGD860101.3.residue50,318
244,CTDD_hydrophobicity_ZIMJ680101.2.residue0,319
820,DDE_GS,320
316,CTDD_normwaalsvolume.1.residue50,321
3338,QSO3_SC_P,322
338,CTDD_polarity.2.residue100,323
144,CKSAAGP_uncharger.uncharger.gap4,324
404,CTDT_hydrophobicity_PRAM900101.Tr1221,325
3262,DDR_V,326
3339,QSO3_SC_S,328
3488,MSW__13,328
7,AAC_G,329
3524,Z5__10,330
242,CTDD_hydrophobicity_ZIMJ680101.1.residue75,331
1490,GTPC_alphaticr.uncharger.alphaticr,332
369,CTDD_charge.3.residue0,333
3539,Z5__25,335
182,CTDC_hydrophobicity_CASG920101.G1,335
3507,Z3__11,336
3409,ABHPRK__38,337
102,CKSAAGP_aromatic.postivecharger.gap3,338
256,CTDD_hydrophobicity_PONP930101.1.residue50,339
387,CTDD_secondarystruct.3.residue75,340
874,DDE_KL,341
3371,Calculate_mw,342
322,CTDD_normwaalsvolume.2.residue75,343
273,CTDD_hydrophobicity_CASG920101.1.residue100,344
297,CTDD_hydrophobicity_ENGD860101.3.residue75,345
762,DDE_DV,346
3447,Cougar__12,347
3493,MSW__18,348
913,DDE_MK,349
1,AAC_R,350
3469,Ez__16,352
171,CTDC_hydrophobicity_PRAM900101.G2,352
188,CTDC_hydrophobicity_FASG890101.G1,353
3537,Z5__23,354
1440,GAAC_alphatic,355
3420,ABHPRK__50,356
172,CTDC_hydrophobicity_PRAM900101.G3,357
1876,NMBroto_CIDH920105.lag2,358
94,CKSAAGP_uncharger.uncharger.gap2,359
227,CTDD_hydrophobicity_ARGP820101.1.residue75,380
1850,APAAC_Pc1.R,380
3242,PAAC_Xc2.lambda3,380
3239,PAAC_Xc1.V,380
22,CKSAAGP_alphaticr.postivecharger.gap0,380
283,CTDD_hydrophobicity_CASG920101.3.residue100,380
1852,APAAC_Pc1.D,380
191,CTDC_normwaalsvolume.G1,380
410,CTDT_hydrophobicity_ZIMJ680101.Tr1221,380
2660,CKSAAP_GN.gap2,380
415,CTDT_hydrophobicity_PONP930101.Tr2332,380
1470,GTPC_alphaticr.alphaticr.alphaticr,380
2328,CKSAAP_GL.gap1,380
3450,Cougar__15,380
3613,OVP_Polar_N4,380
813,DDE_GK,380
1859,APAAC_Pc1.L,380
169,CKSAAGP_uncharger.uncharger.gap5,380
3526,Z5__12,380
276,CTDD_hydrophobicity_CASG920101.2.residue50,380
3220,PAAC_Xc1.A,380
908,DDE_ME,380
467,CTriad_g1.g4.g4,380
3364,QSO3_SC1,380
3642,OVP_Positive_C3,380
341,CTDD_polarity.3.residue50,380
42,CKSAAGP_uncharger.postivecharger.gap0,380
3166,CKSAAP_SY.gap3,380
159,CKSAAGP_postivecharger.uncharger.gap5,380
711,DDE_AH,380
3498,Z3__2,380
3487,MSW__12,380
105,CKSAAGP_postivecharger.alphaticr.gap3,380
1026,DDE_TC,380
178,CTDC_hydrophobicity_ZIMJ680101.G3,380
440,CTDT_solventaccess.Tr1221,380
389,CTDD_solventaccess.1.residue0,380
257,CTDD_hydrophobicity_PONP930101.1.residue75,380
241,CTDD_hydrophobicity_ZIMJ680101.1.residue50,380
2471,CKSAAP_QY.gap1,380
3379,AASI,413
438,CTDT_secondarystruct.Tr1331,413
882,DDE_KV,413
3533,Z5__19,413
3532,Z5__18,413
29,CKSAAGP_aromatic.uncharger.gap0,413
72,CKSAAGP_alphaticr.postivecharger.gap2,413
255,CTDD_hydrophobicity_PONP930101.1.residue25,413
302,CTDD_hydrophobicity_FASG890101.1.residue75,413
3332,QSO3_SC_H,413
3496,TM_tend,413
270,CTDD_hydrophobicity_CASG920101.1.residue25,413
196,CTDC_polarity.G3,413
3404,ABHPRK__32,413
307,CTDD_hydrophobicity_FASG890101.2.residue75,413
218,CTDD_hydrophobicity_PRAM900101.2.residue100,413
3397,ABHPRK__23,413
1002,DDE_RV,413
3459,Ez__6,413
3481,MSW__6,413
3462,Ez__9,413
998,DDE_RQ,413
46,CKSAAGP_alphaticr.aromatic.gap1,413
3234,PAAC_Xc1.P,413
348,CTDD_polarizability.1.residue100,413
3551,Z5__37,413
3179,CKSAAP_TQ.gap3,432
237,CTDD_hydrophobicity_ARGP820101.3.residue75,432
234,CTDD_hydrophobicity_ARGP820101.3.residue0,432
1529,GTPC_postivecharger.postivecharger.uncharger,432
3225,PAAC_Xc1.Q,432
364,CTDD_charge.2.residue0,432
342,CTDD_polarity.3.residue75,432
19,AAC_V,432
15,AAC_S,432
127,CKSAAGP_aromatic.postivecharger.gap4,432
3569,Kytedoolittle,432
430,CTDT_polarity.Tr2332,432
2561,CKSAAP_YR.gap1,476
900,DDE_LS,476
4,AAC_C,476
898,DDE_LQ,476
2780,CKSAAP_PP.gap2,476
47,CKSAAGP_alphaticr.postivecharger.gap1,476
1895,NMBroto_CHAM810101.lag3,476
718,DDE_AQ,476
1059,DDE_VR,476
3277,RRI_R,476
3337,QSO3_SC_F,476
888,DDE_LE,476
3333,QSO3_SC_I,476
3228,PAAC_Xc1.H,476
3325,QSO3_SC_R,476
859,DDE_IR,476
939,DDE_NR,476
1527,GTPC_postivecharger.postivecharger.postivecharger,476
503,CTriad_g2.g3.g6,476
3417,ABHPRK__47,476
2332,CKSAAP_GQ.gap1,476
3093,CKSAAP_NT.gap3,476
74,CKSAAGP_alphaticr.uncharger.gap2,476
779,DDE_ER,476
3439,Cougar__4,476
3418,ABHPRK__48,476
77,CKSAAGP_aromatic.postivecharger.gap2,476
1037,DDE_TP,476
3201,CKSAAP_VT.gap3,476
3402,ABHPRK__29,476
14,AAC_P,476
16,AAC_T,476
3654,OVP_Hydrophobic_C4,476
972,DDE_QI,476
2814,CKSAAP_RP.gap2,476
1199,DPC_GK,476
2267,CKSAAP_CT.gap1,476
3426,ABHPRK__57,476
27,CKSAAGP_aromatic.postivecharger.gap0,476
64,CKSAAGP_negativecharger.uncharger.gap1,476
1881,NMBroto_CHAM820101.lag1,476
551,CTriad_g3.g4.g5,476
267,CTDD_hydrophobicity_PONP930101.3.residue75,476
3516,Z5__2,476
233,CTDD_hydrophobicity_ARGP820101.2.residue100,476
3517,Z5__3,476
120,CKSAAGP_alphaticr.alphaticr.gap4,476
278,CTDD_hydrophobicity_CASG920101.2.residue100,476
1007,DDE_SD,476
236,CTDD_hydrophobicity_ARGP820101.3.residue50,476
3519,Z5__5,476
1442,GAAC_postivecharge,476
3541,Z5__27,476
1357,DPC_RP,476
140,CKSAAGP_uncharger.alphaticr.gap4,476
400,CTDD_solventaccess.3.residue25,476
1015,DDE_SM,476
258,CTDD_hydrophobicity_PONP930101.1.residue100,476
1350,DPC_RG,476
3538,Z5__24,476
1019,DDE_SR,476
3535,Z5__21,476
429,CTDT_polarity.Tr1331,476
124,CKSAAGP_alphaticr.uncharger.gap4,476
286,CTDD_hydrophobicity_ENGD860101.1.residue50,476
160,CKSAAGP_negativecharger.alphaticr.gap5,476
109,CKSAAGP_postivecharger.uncharger.gap3,476
999,DDE_RR,476
189,CTDC_hydrophobicity_FASG890101.G2,476
3588,OVP_Small_N1,476
318,CTDD_normwaalsvolume.1.residue100,476
314,CTDD_normwaalsvolume.1.residue0,476
3590,OVP_Aromatic_N2,476
3491,MSW__16,476
336,CTDD_polarity.2.residue50,476
294,CTDD_hydrophobicity_ENGD860101.3.residue0,476
3434,Charge_phys,527
252,CTDD_hydrophobicity_ZIMJ680101.3.residue75,527
232,CTDD_hydrophobicity_ARGP820101.2.residue75,527
1584,GTPC_uncharger.uncharger.postivecharger,527
3395,ABHPRK__20,527
1564,GTPC_uncharger.alphaticr.postivecharger,527
247,CTDD_hydrophobicity_ZIMJ680101.2.residue75,527
739,DDE_CR,527
100,CKSAAGP_aromatic.alphaticr.gap3,527
345,CTDD_polarizability.1.residue25,527
3497,Z3__1,527
934,DDE_NL,527
3456,Ez__3,527
154,CKSAAGP_aromatic.uncharger.gap5,527
3584,OVP_Hydrophobic_N1,527
293,CTDD_hydrophobicity_ENGD860101.2.residue100,527
280,CTDD_hydrophobicity_CASG920101.3.residue25,527
301,CTDD_hydrophobicity_FASG890101.1.residue50,527
312,CTDD_hydrophobicity_FASG890101.3.residue75,527
3574,OVPC_Hydrophobic,527
845,DDE_IA,527
877,DDE_KP,527
21,CKSAAGP_alphaticr.aromatic.gap0,527
991,DDE_RH,527
25,CKSAAGP_aromatic.alphaticr.gap0,527
235,CTDD_hydrophobicity_ARGP820101.3.residue25,527
1475,GTPC_alphaticr.aromatic.alphaticr,544
978,DDE_QQ,544
705,DDE_AA,544
3554,Z5__40,544
968,DDE_QE,544
3249,DDR_E,544
3509,Z3__13,544
1582,GTPC_uncharger.uncharger.alphaticr,544
3501,Z3__5,544
1029,DDE_TF,643
107,CKSAAGP_postivecharger.postivecharger.gap3,643
784,DDE_EY,643
3655,OVP_Aliphatic_C4,643
3586,OVP_Tiny_N1,643
198,CTDC_polarizability.G2,643
1028,DDE_TE,643
1534,GTPC_postivecharger.uncharger.alphaticr,643
197,CTDC_polarizability.G1,643
3634,OVP_Hydrophobic_C2,643
2496,CKSAAP_SG.gap1,643
40,CKSAAGP_uncharger.alphaticr.gap0,643
774,DDE_EL,643
1363,DPC_RY,643
3474,Levitt_alpha,643
2250,CKSAAP_AT.gap1,643
106,CKSAAGP_postivecharger.aromatic.gap3,643
2878,CKSAAP_VY.gap2,643
366,CTDD_charge.2.residue50,643
104,CKSAAGP_aromatic.uncharger.gap3,643
491,CTriad_g2.g2.g1,643
309,CTDD_hydrophobicity_FASG890101.3.residue0,643
880,DDE_KS,643
789,DDE_FF,643
3465,Ez__12,643
1868,APAAC_Pc1.V,643
797,DDE_FP,643
2603,CKSAAP_DG.gap2,643
43,CKSAAGP_uncharger.negativecharger.gap0,643
2602,CKSAAP_DF.gap2,643
2453,CKSAAP_PT.gap1,643
9,AAC_I,643
2763,CKSAAP_NP.gap2,643
3585,OVP_Aliphatic_N1,643
1512,GTPC_aromatic.uncharger.aromatic,643
3573,OVPC_Polar,643
1515,GTPC_aromatic.uncharger.uncharger,643
1248,DPC_KL,643
289,CTDD_hydrophobicity_ENGD860101.2.residue0,643
791,DDE_FH,643
11,AAC_K,643
3593,OVP_Polar_N2,643
2594,CKSAAP_CR.gap2,643
41,CKSAAGP_uncharger.aromatic.gap0,643
1085,DDE_YA,643
866,DDE_KC,643
707,DDE_AD,643
3504,Z3__8,643
1891,NMBroto_BIGC670101.lag2,643
33,CKSAAGP_postivecharger.negativecharger.gap0,643
1889,NMBroto_CHOC760101.lag3,643
180,CTDC_hydrophobicity_PONP930101.G2,643
3499,Z3__3,643
3245,DDR_N,643
3246,DDR_D,643
32,CKSAAGP_postivecharger.postivecharger.gap0,643
1057,DDE_VP,643
34,CKSAAGP_postivecharger.uncharger.gap0,643
3259,DDR_T,643
746,DDE_DC,643
996,DDE_RN,643
3561,formula_H,643
335,CTDD_polarity.2.residue25,643
1046,DDE_VC,643
3254,DDR_K,643
334,CTDD_polarity.2.residue0,643
3560,formula_C,643
1882,NMBroto_CHAM820101.lag2,643
745,DDE_DA,643
223,CTDD_hydrophobicity_PRAM900101.3.residue100,643
1892,NMBroto_BIGC670101.lag3,643
730,DDE_CG,643
1003,DDE_RW,643
24,CKSAAGP_alphaticr.uncharger.gap0,643
363,CTDD_charge.1.residue100,643
91,CKSAAGP_uncharger.aromatic.gap2,643
713,DDE_AK,643
3241,PAAC_Xc2.lambda2,643
326,CTDD_normwaalsvolume.3.residue50,643
2658,CKSAAP_GL.gap2,643
867,DDE_KD,643
344,CTDD_polarizability.1.residue0,643
353,CTDD_polarizability.2.residue100,643
720,DDE_AS,643
327,CTDD_normwaalsvolume.3.residue75,643
176,CTDC_hydrophobicity_ZIMJ680101.G1,643
1041,DDE_TT,643
3274,RRI_N,643
1042,DDE_TV,643
726,DDE_CC,643
186,CTDC_hydrophobicity_ENGD860101.G2,643
179,CTDC_hydrophobicity_PONP930101.G1,643
719,DDE_AR,643
799,DDE_FR,643
3545,Z5__31,643
1866,APAAC_Pc1.W,643
251,CTDD_hydrophobicity_ZIMJ680101.3.residue50,643
1567,GTPC_uncharger.aromatic.alphaticr,643
419,CTDT_hydrophobicity_ENGD860101.Tr1221,643
1583,GTPC_uncharger.uncharger.aromatic,643
70,CKSAAGP_alphaticr.alphaticr.gap2,643
977,DDE_QP,643
71,CKSAAGP_alphaticr.aromatic.gap2,643
901,DDE_LT,643
73,CKSAAGP_alphaticr.negativecharger.gap2,643
3527,Z5__13,643
1474,GTPC_alphaticr.alphaticr.uncharger,643
451,CTriad_g1.g2.g2,643
416,CTDT_hydrophobicity_CASG920101.Tr1221,643
3441,Cougar__6,643
412,CTDT_hydrophobicity_ZIMJ680101.Tr2332,643
2554,CKSAAP_YG.gap1,643
1478,GTPC_alphaticr.aromatic.negativecharger,643
3386,ABHPRK__9,643
5,AAC_Q,643
6,AAC_E,643
3383,ABHPRK__5,643
250,CTDD_hydrophobicity_ZIMJ680101.3.residue25,643
852,DDE_II,643
1094,DDE_YL,643
423,CTDT_hydrophobicity_FASG890101.Tr1331,643
243,CTDD_hydrophobicity_ZIMJ680101.1.residue100,643
2516,CKSAAP_TH.gap1,643
245,CTDD_hydrophobicity_ZIMJ680101.2.residue25,643
563,CTriad_g3.g6.g4,643
437,CTDT_secondarystruct.Tr1221,643
984,DDE_QY,643
123,CKSAAGP_alphaticr.negativecharger.gap4,643
893,DDE_LK,643
432,CTDT_polarizability.Tr1331,643
3531,Z5__17,643
3416,ABHPRK__46,643
3577,OVPC_Charged,643
572,CTriad_g4.g1.g2,643
119,CKSAAGP_uncharger.uncharger.gap3,643
1304,DPC_NR,643
3412,ABHPRK__41,643
1093,DDE_YK,643
68,CKSAAGP_uncharger.negativecharger.gap1,643
125,CKSAAGP_aromatic.alphaticr.gap4,643
424,CTDT_hydrophobicity_FASG890101.Tr2332,643
2796,CKSAAP_QQ.gap2,643
894,DDE_LL,643
3334,QSO3_SC_L,643
2379,CKSAAP_KL.gap1,643
408,CTDT_hydrophobicity_ARGP820101.Tr1331,643
209,CTDD_hydrophobicity_PRAM900101.1.residue0,643
3355,QSO3_G_K,643
206,CTDC_solventaccess.G1,643
958,DDE_PQ,643
3454,Ez__1,643
3351,QSO3_G_G,643
2426,CKSAAP_NH.gap1,643
3600,OVP_Aromatic_N3,643
954,DDE_PL,643
152,CKSAAGP_aromatic.postivecharger.gap5,643
953,DDE_PK,643
806,DDE_GC,643
3629,OVP_Imino_acid_C1,643
3463,Ez__10,643
45,CKSAAGP_alphaticr.alphaticr.gap1,643
3341,QSO3_SC_W,643
3340,QSO3_SC_T,643
2669,CKSAAP_HG.gap2,643
518,CTriad_g2.g6.g1,643
881,DDE_KT,643
3336,QSO3_SC_M,643
272,CTDD_hydrophobicity_CASG920101.1.residue75,643
75,CKSAAGP_aromatic.alphaticr.gap2,643
3457,Ez__4,643
1856,APAAC_Pc1.G,643
540,CTriad_g3.g2.g6,643
260,CTDD_hydrophobicity_PONP930101.2.residue25,643
3523,Z5__9,643
266,CTDD_hydrophobicity_PONP930101.3.residue50,643
139,CKSAAGP_negativecharger.uncharger.gap4,643
51,CKSAAGP_aromatic.aromatic.gap1,643
238,CTDD_hydrophobicity_ARGP820101.3.residue100,643
