,rbfsvm,lightgbm,xgboost,dt,et
82|0|testing,0,0,1,0,0
83|0|testing,0,0,0,1,0
84|0|testing,0,0,0,0,0
85|0|testing,1,1,1,1,1
86|0|testing,1,1,1,1,1
87|0|testing,0,0,1,1,0
88|0|testing,1,1,1,0,1
89|0|testing,0,0,1,0,0
90|0|testing,1,0,1,0,1
91|0|testing,0,0,0,0,0
92|0|testing,0,0,1,0,0
93|0|testing,0,0,0,0,0
94|0|testing,0,0,1,0,0
95|0|testing,0,0,0,0,0
96|0|testing,0,0,0,0,0
98|0|testing,0,0,0,0,0
99|0|testing,0,0,0,0,0
100|0|testing,1,0,1,0,1
1|1|testing,0,0,0,0,0
2|1|testing,1,1,1,1,1
3|1|testing,1,1,1,1,1
4|1|testing,0,0,0,1,0
5|1|testing,1,0,1,1,1
6|1|testing,1,1,1,1,1
7|1|testing,1,1,1,0,1
8|1|testing,1,1,1,1,1
9|1|testing,1,1,1,1,1
10|1|testing,0,1,1,1,1
11|1|testing,1,1,1,1,1
12|1|testing,1,1,0,1,1
13|1|testing,1,1,1,0,1
14|1|testing,1,0,0,0,0
15|1|testing,1,1,1,1,1
16|1|testing,1,1,1,0,1
17|1|testing,1,0,0,1,0
18|1|testing,1,1,1,1,1
19|1|testing,1,1,1,1,1
20|1|testing,1,1,1,1,1
21|1|testing,1,1,1,1,1
22|1|testing,1,1,1,1,1
23|1|testing,0,1,1,0,0
24|1|testing,1,1,1,1,1
25|1|testing,1,0,1,1,1
26|1|testing,1,1,1,1,1
27|1|testing,1,1,1,1,1
28|1|testing,1,1,1,1,1
29|1|testing,1,1,1,1,1
30|1|testing,1,1,1,1,1
31|1|testing,1,1,1,1,1
32|1|testing,1,1,1,1,1
33|1|testing,1,1,1,1,1
34|1|testing,1,0,1,1,1
35|1|testing,1,1,1,1,1
36|1|testing,1,1,1,1,1
37|1|testing,1,1,1,1,1
38|1|testing,1,1,1,1,1
39|1|testing,1,1,1,0,1
40|1|testing,0,0,0,0,0
41|1|testing,0,0,0,1,0
42|1|testing,1,1,1,1,1
43|1|testing,1,1,1,0,1
44|1|testing,1,1,1,1,1
45|1|testing,1,1,1,1,1
46|1|testing,1,0,0,0,0
47|1|testing,1,1,1,1,1
48|1|testing,1,0,1,1,1
49|1|testing,1,0,1,0,1
50|1|testing,1,1,1,1,1
51|1|testing,1,1,1,1,1
52|1|testing,1,1,1,0,1
53|1|testing,0,0,0,1,0
54|1|testing,1,1,1,1,1
55|1|testing,1,1,1,1,1
56|1|testing,1,1,1,1,1
57|1|testing,1,1,1,1,1
58|1|testing,1,0,1,0,1
59|1|testing,1,0,1,1,1
60|1|testing,1,1,1,1,1
61|1|testing,1,0,1,1,1
62|1|testing,1,1,1,1,1
63|1|testing,0,0,1,1,0
64|1|testing,1,1,1,0,1
65|1|testing,1,1,1,1,1
66|1|testing,0,0,0,0,0
67|1|testing,1,1,1,1,1
68|1|testing,1,1,1,0,0
69|1|testing,1,0,1,1,1
70|1|testing,1,1,1,0,0
71|1|testing,0,0,0,0,0
72|1|testing,1,1,1,1,1
73|1|testing,0,0,0,0,0
74|1|testing,1,1,1,0,1
75|1|testing,1,1,1,1,1
76|1|testing,1,1,1,1,1
77|1|testing,1,1,1,1,1
78|1|testing,0,0,0,0,0
79|1|testing,1,1,1,1,1
80|1|testing,1,0,1,1,1
81|1|testing,1,1,1,1,1
82|1|testing,1,0,1,1,1
83|1|testing,1,1,1,1,1
84|1|testing,1,1,1,1,1
85|1|testing,1,1,1,1,1
86|1|testing,1,1,1,0,1
87|1|testing,1,1,1,1,1
88|1|testing,1,1,1,0,1
89|1|testing,1,0,1,0,1
90|1|testing,1,1,1,0,0
91|1|testing,1,0,1,0,1
92|1|testing,1,1,1,1,1
93|1|testing,0,0,0,0,0
94|1|testing,1,1,1,1,1
95|1|testing,0,0,0,0,0
96|1|testing,1,1,1,0,1
98|1|testing,0,0,0,0,0
100|1|testing,0,0,1,1,0
101|1|testing,1,1,1,1,1
